codigo_origen,producto_origen,cantidad_origen,codigo_componente,producto_componente,cantidad_componente
003,ACELGA - CAJA,1.0,002,ACELGA - ATADO,12.0
011,AJO - RIESTRA,1.0,010,AJO - CABEZA,50.0
012,AKUSAY - CAJA,1.0,013,AKUSAY - UNIDAD,12.0
015,ALBAHACA - CAJA,1.0,014,ALBAHACA - ATADO,24.0
018,ANANA - CAJA,1.0,020,ANANA - UNIDAD,12.0
020,ANANA - UNIDAD,1.0,019,ANANA - KG,2.0
021,ANCO - BOLSA,1.0,023,ANCO - KG,18.0
024,ANCO - UNIDAD,1.0,023,ANCO - KG,1.5
025,APIO - CAJA,1.0,026,APIO - PLANTA,10.0
028,ARANDANO - CAJA,1.0,027,ARANDANO - CUBETA,12.0
031,BANANA - CAJA,1.0,032,BANANA - KG,18.0
033,BATATA - BOLSA,1.0,034,BATATA - KG,12.0
035,BERENJENA - CAJA,1.0,036,BERENJENA - KG,10.0
038,BONIATO - BOLSA,1.0,039,BONIATO - KG,12.0
040,BROCOLI - CAJA,1.0,041,BROCOLI - KG,10.0
042,BROCOLI - UNIDAD,1.0,041,BROCOLI - KG,1.0
047,CABUTIA - BOLSA,1.0,048,CABUTIA - KG,18.0
049,CABUTIA - UNIDAD,1.0,048,CABUTIA - KG,0.6666666666666666
053,CEBOLLA - BOLSA,1.0,054,CEBOLLA - KG,18.0
055,CEBOLLA MORADA - BOLSA,1.0,056,CEBOLLA MORADA - KG,18.0
057,CEBOLLON - BOLSA,1.0,058,CEBOLLON - KG,18.0
059,CEREZA - CAJA,1.0,060,CEREZA - KG,5.0
061,CHAMPINONES - BANDEJA,1.0,062,CHAMPINONES - KG,0.2
063,CHAUCHA - CAJA,1.0,064,CHAUCHA - KG,8.0
066,CHOCLO - CAJA,1.0,067,CHOCLO - UNIDAD,
070,CIRUELA - CAJA,1.0,071,CIRUELA - KG,10.0
073,COLIFLOR - CAJA,1.0,074,COLIFLOR - KG,10.0
075,COLIFLOR - UNIDAD,1.0,074,COLIFLOR - KG,1.0
080,DURAZNO - CAJA,1.0,081,DURAZNO - KG,10.0
087,ESPINACA - CAJA,1.0,086,ESPINACA - ATADO,
089,FRAMBUESAS - CAJA,1.0,0251,FRAMBUESAS - CUBETA,
090,FRUTILLAS - CAJA,1.0,091,FRUTILLAS - KG,4.0
092,FRUTOS ROJOS - CAJA,1.0,093,FRUTOS ROJOS - KG,
095,GIRGOLA - BANDEJA,1.0,094,GIRGOLA - KG,0.2
096,HABAS - BANDEJA,1.0,097,HABAS - KG,0.2
0108,KIWI - CAJA,1.0,0109,KIWI - KG,9.0
0111,LECHUGA CAPUCHINA - CAJA,1.0,0112,LECHUGA CAPUCHINA - KG,12.0
0113,LECHUGA CRIOLLA - CAJA,1.0,0114,LECHUGA CRIOLLA - KG,6.0
0115,LECHUGA FRANCESA - CAJA,1.0,0116,LECHUGA FRANCESA - KG,6.0
0117,LECHUGA MANTECOSA - CAJA,1.0,0118,LECHUGA MANTECOSA - KG,5.0
0119,LECHUGA MIX - CAJA,1.0,0120,LECHUGA MIX - KG,5.0
