wix_id,wix_producto,dux_codigo,dux_producto,factor
1b8b1430-478d-b3d3-b96c-dccd947dc8f2,ACELGA - ATADO,002,ACELGA - ATADO,1.0
2298199c-744b-e8e7-5ef7-317b093762c8,AJO - CABEZA,010,AJO - CABEZA,1.0
55239dde-7271-5b58-fe4f-7a429680352e,ALBAHACA - ATADO,014,ALBAHACA - ATADO,1.0
1380594c-450c-4e27-e6ff-8fd4fbe9f5f2,ANANA - UNIDAD,020,ANANA - UNIDAD,1.0
e711fa26-3a75-9bed-6e39-48ce6af47f86,ANCO - UNIDAD,024,ANCO - UNIDAD,1.0
c8427493-3d18-3495-ad5c-b0ae5d4a1fdd,ANCO CORTADO - BANDEJA,022,ANCO CORTADO - BANDEJA,1.0
620ebc1d-3377-9e12-c613-2bdfaac6f0c2,APIO - PLANTA,026,APIO - PLANTA,1.0
dc61cbf8-bceb-246e-a1fb-739fe0644881,BANANA - KG,032,BANANA - KG,1.0
1053b539-cf6d-dbd3-b11c-532b7231135d,BATATA - KG,034,BATATA - KG,1.0
dda08afc-f669-dc3b-09f5-d4dc30477999,BERENJENA - KG,036,BERENJENA - KG,1.0
dfc49d91-d74f-063f-c455-3ca86ea673a8,BONIATO - KG,039,BONIATO - KG,1.0
53d5f8f6-e517-8548-19fa-ffeb42a67a1d,BROCOLI - UNIDAD,042,BROCOLI - UNIDAD,1.0
4a7a2615-aaa7-90ec-da4a-15492323fa98,CABUTIA - UNIDAD,049,CABUTIA - UNIDAD,1.0
2878ef52-49c5-ca85-c8d9-147493a17688,CEBOLLA - KG,054,CEBOLLA - KG,1.0
5a1a2481-13ca-e48d-7e72-47fc9eaca6fa,CEBOLLA MORADA - 1/2 KG,056,CEBOLLA MORADA - KG,0.5
8f2ad7e7-c61b-7cb0-1998-aae184480162,CHAMPINONES - BANDEJA,061,CHAMPINONES - BANDEJA,1.0
0e5e3778-0476-1b54-1459-ed1e16f3d3b8,CHAUCHA - 1/2 KG,064,CHAUCHA - KG,0.5
55f6e3d3-16ea-fbdd-4dac-daac902749a8,CHOCLO - UNIDAD,067,CHOCLO - UNIDAD,1.0
96c0ba5c-99e3-337d-fe17-2abf7af503b4,CIRUELA - KG,071,CIRUELA - KG,1.0
24fe46dd-14ef-88b9-9fbb-36f639c07384,COLIFLOR - UNIDAD,075,COLIFLOR - UNIDAD,1.0
c2d39ec4-7ecc-7b16-074b-a139bc92e503,ENSALADA - BANDEJA,084,ENSALADA - BANDEJA,1.0
