codigo,producto,unidad_medida,descripcion
001,ACEITE DE OLIVA - LITRO,LITRO,
002,ACELGA - ATADO,ATADO,
003,ACELGA - CAJA,CAJA,
004,ADOBO PARA PIZZA - KG,KG,
005,AJI PICANTE - KG,KG,
006,AJI PANKA - KG,KG,
007,AJI EN VINAGRE - KG,KG,
008,AJI HABANERO - KG,KG,
009,AJINOMOTO - KG,KG,
010,AJO - CABEZA,CABEZA,
0100,HIGOS FRESCOS - CAJA,CAJA,
0101,HINOJO BULBO - KG,KG,
0102,HINOJO - UNIDAD,UNIDAD,
0103,HUEVOS - MAPLE,MAPLE,
0104,JALAPENO ROJO - KG,KG,
0105,JALAPENO VERDE - KG,KG,
0106,JENGIBRE - KG,KG,
0107,KALE - ATADO,ATADO,
0108,KIWI - CAJA,CAJA,
0109,KIWI - KG,KG,
011,AJO - RIESTRA,RIESTRA,
0110,LAUREL - ATADO,ATADO,
0111,LECHUGA CAPUCHINA - CAJA,CAJA,
0112,LECHUGA CAPUCHINA - KG,KG,
0113,LECHUGA CRIOLLA - CAJA,CAJA,
0114,LECHUGA CRIOLLA - KG,KG,
0115,LECHUGA FRANCESA - CAJA,CAJA,
0116,LECHUGA FRANCESA - KG,KG,
0117,LECHUGA MANTECOSA - CAJA,CAJA,
0118,LECHUGA MANTECOSA - KG,KG,
0119,LECHUGA MIX - CAJA,CAJA,
012,AKUSAY - CAJA,CAJA,
0120,LECHUGA MIX - KG,KG,
0121,LECHUGA MORADA - CAJA,CAJA,
0122,LECHUGA MORADA - KG,KG,
0125,LEMONGRASS - ATADO,ATADO,
0126,LIMA - CAJA,CAJA,
0127,LIMA - KG,KG,
0128,LIMON - CAJA,CAJA,
0129,LIMON - KG,KG,
013,AKUSAY - UNIDAD,UNIDAD,
0130,LOCOTO - KG,KG,
0131,MANDARINA - CAJA,CAJA,
0132,MANDARINA - KG,KG,
0133,MANDIOCA - KG,KG,
0134,MANGO - KG,KG,
0135,MANGO - UNIDAD,UNIDAD,
0136,MANZANA ROJA - CAJA,CAJA,
0137,MANZANA ROJA - KG,KG,
0138,MANZANA ROJA PREMIUM - CAJA,CAJA,
0139,MANZANA ROJA PREMIUM - KG,KG,
014,ALBAHACA - ATADO,ATADO,
0140,MANZANA VERDE - CAJA,CAJA,
0141,MANZANA VERDE - KG,KG,
0142,MANZANA VERDE PREMIUM - CAJA,CAJA,
0143,MANZANA VERDE PREMIUM - KG,KG,
0144,MARACUYA - KG,KG,
0145,MELON - CAJA,CAJA,
0146,MELON - KG,KG,
0147,MELON - UNIDAD,UNIDAD,
0148,MEMBRILLO - KG,KG,
0149,MENTA - ATADO,ATADO,
015,ALBAHACA - CAJA,CAJA,
0150,MIEL - KG,KG,
0151,MORAS - CUBETA,CUBETA,
0152,MORAS - CAJA,CAJA,
0153,MORRON AMARILLO - CAJA,CAJA,
0154,MORRON AMARILLO - KG,KG,
0155,MORRON MIX - CAJA,CAJA,
0156,MORRON MIX - KG,KG,
0157,MORRON ROJO - CAJA,CAJA,
0158,MORRON ROJO - KG,KG,
0159,MORRON VERDE - CAJA,CAJA,
016,ALCAPARRAS - KG,KG,
0160,MORRON VERDE - KG,KG,
0161,NABO - ATADO,ATADO,
0162,NABO - KG,KG,
0163,NARANJA JUGO - CAJA,CAJA,
0164,NARANJA JUGO - KG,KG,
0165,NARANJA OMBLIGO - CAJA,CAJA,
0166,NARANJA OMBLIGO - KG,KG,
0167,NIRA - ATADO,ATADO,
0168,NUEZ MOSCADA - KG,KG,
0169,ÑAME - KG,KG,
017,ALCAUCILES - UNIDAD,UNIDAD,
0170,OREGANO FRESCO - ATADO,ATADO,
0171,OREGANO DESHIDRATADO - KG,KG,
0172,PAK CHOI - CAJA,CAJA,
0173,PAK CHOI - UNIDAD,UNIDAD,
0174,PALTA - CAJA,CAJA,
0175,PALTA - KG,KG,
0176,PALTA - UNIDAD,UNIDAD,
0177,PAPA CEPILLADA - BOLSA,BOLSA,
0178,PAPA CEPILLADA - KG,KG,
0179,PAPA LAVADA - BOLSA,BOLSA,
018,ANANA - CAJA,CAJA,
0180,PAPA LAVADA - KG,KG,
0181,PAPA NEGRA - BOLSA,BOLSA,
0182,PAPA NEGRA - KG,KG,
0183,PAPAYA - CAJA,CAJA,
0184,PAPAYA - UNIDAD,UNIDAD,
0185,PAPINES ANDINOS - KG,KG,
0186,PELON - CAJA,CAJA,
0187,PELON - KG,KG,
0188,PEPINILLO - KG,KG,
0189,PEPINO - CAJA,CAJA,
019,ANANA - KG,KG,
0190,PEPINO - KG,KG,
0191,PERA - CAJA,CAJA,
0192,PERA - KG,KG,
0193,PERA PREMIUM - CAJA,CAJA,
0194,PERA PREMIUM - KG,KG,
0195,PEREJIL - ATADO,ATADO,
0196,PERIFOLIO - ATADO,ATADO,
0197,PIMENTON - KG,KG,
0198,PIMIENTA - KG,KG,
0199,PITAYA - CAJA,CAJA,
020,ANANA - UNIDAD,UNIDAD,
0200,PITAYA - UNIDAD,UNIDAD,
0201,PLATANO - CAJA,CAJA,
0202,PLATANO - KG,KG,
0203,POMELO - CAJA,CAJA,
0204,POMELO - KG,KG,
0205,PORTOBELLO - KG,KG,
0206,PROVENZAL - KG,KG,
0207,PUERRO - ATADO,ATADO,
0208,PUERRO - KG,KG,
0209,RABANITO - ATADO,ATADO,
021,ANCO - BOLSA,BOLSA,
0210,RADICHETA - ATADO,ATADO,
0211,RADICHETA - CAJA,CAJA,
0212,RADICHIO - KG,KG,
0213,REMOLACHA - ATADO,ATADO,
0214,REMOLACHA - BOLSA,BOLSA,
0215,REPOLLITOS DE BRUSELAS - BANDEJA,BANDEJA,
0216,REPOLLO BLANCO - CAJA,CAJA,
0217,REPOLLO BLANCO - KG,KG,
0218,REPOLLO BLANCO - UNIDAD,UNIDAD,
0219,REPOLLO ROJO - CAJA,CAJA,
022,ANCO CORTADO - BANDEJA,BANDEJA,
0220,REPOLLO ROJO - KG,KG,
0221,REPOLLO ROJO - UNIDAD,UNIDAD,
0222,ROMERO - ATADO,ATADO,
0223,RUCULA - ATADO,ATADO,
0224,RUCULA - CAJA,CAJA,
0225,SALVIA - ATADO,ATADO,
0226,SANDIA - KG,KG,
0227,SANDIA - UNIDAD,UNIDAD,
0228,TOMATE CHERRY - CAJA,CAJA,
0229,TOMATE CHERRY - KG,KG,
023,ANCO - KG,KG,
0230,TOMATE PERITA - CAJA,CAJA,
0231,TOMATE PERITA - KG,KG,
0232,TOMATE REDONDO - CAJA,CAJA,
0233,TOMATE REDONDO - KG,KG,
0234,TOMATE RELIQUIA - KG,KG,
0235,TOMATE SECO - KG,KG,
0236,TOMATE TRITURADO - LITRO,LITRO,
0237,TOMILLO - ATADO,ATADO,
0238,UVAS BLANCAS - KG,KG,
