wix_id,producto,sku,tipo
1b8b1430-478d-b3d3-b96c-dccd947dc8f2,ACELGA - ATADO,,physical
2298199c-744b-e8e7-5ef7-317b093762c8,AJO - CABEZA,,physical
55239dde-7271-5b58-fe4f-7a429680352e,ALBAHACA - ATADO,,physical
1380594c-450c-4e27-e6ff-8fd4fbe9f5f2,ANANA - UNIDAD,,physical
e711fa26-3a75-9bed-6e39-48ce6af47f86,ANCO - UNIDAD,,physical
c8427493-3d18-3495-ad5c-b0ae5d4a1fdd,ANCO CORTADO - BANDEJA,,physical
620ebc1d-3377-9e12-c613-2bdfaac6f0c2,APIO - PLANTA,,physical
dc61cbf8-bceb-246e-a1fb-739fe0644881,BANANA - KG,,physical
1053b539-cf6d-dbd3-b11c-532b7231135d,BATATA - KG,,physical
dda08afc-f669-dc3b-09f5-d4dc30477999,BERENJENA - KG,,physical
dfc49d91-d74f-063f-c455-3ca86ea673a8,BONIATO - KG,,physical
53d5f8f6-e517-8548-19fa-ffeb42a67a1d,BROCOLI - UNIDAD,,physical
4a7a2615-aaa7-90ec-da4a-15492323fa98,CABUTIA - UNIDAD,,physical
2878ef52-49c5-ca85-c8d9-147493a17688,CEBOLLA - KG,,physical
5a1a2481-13ca-e48d-7e72-47fc9eaca6fa,CEBOLLA MORADA - 1/2 KG,,physical
8f2ad7e7-c61b-7cb0-1998-aae184480162,CHAMPINONES - BANDEJA,,physical
0e5e3778-0476-1b54-1459-ed1e16f3d3b8,CHAUCHA - 1/2 KG,,physical
55f6e3d3-16ea-fbdd-4dac-daac902749a8,CHOCLO - UNIDAD,,physical
96c0ba5c-99e3-337d-fe17-2abf7af503b4,CIRUELA - KG,,physical
24fe46dd-14ef-88b9-9fbb-36f639c07384,COLIFLOR - UNIDAD,,physical
c2d39ec4-7ecc-7b16-074b-a139bc92e503,ENSALADA - BANDEJA,,physical
a399db57-7f2b-f93b-ae33-dda8d8329c1e,ESPINACA - ATADO,,physical
037aeb23-1177-2ca2-d436-933a581b4c2c,FRUTILLAS - 1/2 KG,,physical
4d1fe119-8dd0-58de-7b71-5b0fbd923c0b,HUEVOS - MAPLE,,physical
98ecf7b0-482c-7785-ad10-104665436b72,JENGIBRE - 1/4 KG,,physical
4df147a4-65db-6608-7df9-413105cb74cd,KALE - ATADO,,physical
4bef3239-3661-8c69-6fe9-6fb028428276,KIWI - UNIDAD,,physical
e3a79bd0-da57-8d26-6c98-f57e35607d5b,LECHUGA - 1/2 KG,,physical
05177c56-6b87-1863-4c3c-d3e553546706,LIMA - UNIDAD,,physical
